name,baseCurrency,quoteCurrency,type,bid,change1h
GARI/USD,GARI,USD,spot,0.6332,0.009229055613016152
GBP/USD,GBP,USD,spot,1.249,0.00040048057669203043
GBTC/USD,GBTC,USD,spot,26.33,0.0070651136146648846
GDX/USD,GDX,USD,spot,34.515,0.0004347826086956522
GDXJ/USD,GDXJ,USD,spot,42.12,0.0
GENE/USD,GENE,USD,spot,13.946,0.0081665100816651
GLD/USD,GLD,USD,spot,173.875,0.0
GLXY/USD,GLXY,USD,spot,11.094,-0.008667679385220266
GME/USD,GME,USD,spot,119.0,0.004219409282700422
GMT/USD,GMT,USD,spot,3.25555,0.01330763012250482
GODS/USD,GODS,USD,spot,0.7445,0.026785714285714284
GOG/USD,GOG,USD,spot,0.31325,0.010475423045930701
GOOGL/USD,GOOGL,USD,spot,2327.8,0.0021941146102219928
GRT/USD,GRT,USD,spot,0.30785,0.015650741350906095
GST/USD,GST,USD,spot,6.196,0.03309712380158399
GST/USDT,GST,USDT,spot,6.1845,0.03166666666666667
GT/USD,GT,USD,spot,6.244,0.0010391686650679456
HGET/USD,HGET,USD,spot,1.35,0.007434944237918215
HGET/USDT,HGET,USDT,spot,1.335,0.007462686567164179
HMT/USD,HMT,USD,spot,0.3168,0.0
HNT/USD,HNT,USD,spot,14.208,0.011653650931508995
HNT/USDT,HNT,USDT,spot,14.2134,0.010211612427085254
HOLY/USD,HOLY,USD,spot,12.5137,0.01787162271739483
HOOD/USD,HOOD,USD,spot,10.515,0.0009519276534983341
HT/USD,HT,USD,spot,9.4915,0.0013704406493780308
HUM/USD,HUM,USD,spot,0.292575,0.022274633123689727
HXRO/USD,HXRO,USD,spot,0.3117,0.007893041237113402
HXRO/USDT,HXRO,USDT,spot,0.31055,-0.00015992323684631377
IMX/USD,IMX,USD,spot,1.5395,0.018830525272547076
INDI/USD,INDI,USD,spot,0.2552,0.0
INTER/USD,INTER,USD,spot,5.295,-0.017982944011865034
JET/USD,JET,USD,spot,0.27575,0.0
JOE/USD,JOE,USD,spot,0.90775,0.01594851706771125
JST/USD,JST,USD,spot,0.06081,0.014176117411607738
KBTT/USD,KBTT,USD,spot,0.00170975,0.006771676726041513
KIN/USD,KIN,USD,spot,2.64e-05,0.00994263862332696
KNC/USD,KNC,USD,spot,4.0851,0.020229265003371546
