name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
LINK/BTC,True,False,5e-08,0.1,0.1,0.00028935,0.0002892,0.0002896,0.00028935,spot,LINK,False,BTC,,False,True,5000.0,-0.004130098089829634,-0.016986580601324953,-0.0010357327809425167,2.282240625,87942.76550602993,0.00029495,0.0002826,
LINK/USD,True,False,0.0005,0.1,0.1,11.1455,11.152,11.1555,11.152,spot,LINK,False,USD,,False,True,5000.0,-0.006636084264908921,-0.017444933920704845,0.00040367795469836286,3572960.9724,3572960.9724,11.4405,10.7485,
LINK/USDT,True,False,0.0005,0.1,0.1,11.146,11.1505,11.159,11.1505,spot,LINK,False,USDT,,False,True,5000.0,-0.006725458756458222,-0.017620369146733626,0.0004037322806387942,1223710.4854,1223581.995799033,11.438,10.781,
LOOKS-PERP,True,False,0.00025,1.0,1.0,1.7345,1.7345,1.73525,1.7345,future,,False,,LOOKS,False,False,500.0,-0.033031358885017424,0.04962178517397882,0.008870146866366148,122888591.93225,122888591.93225,1.82,1.54575,
LOOKS/USD,True,False,0.00025,1.0,1.0,1.739,1.73475,1.73925,1.739,spot,LOOKS,False,USD,,False,True,500.0,-0.032545201668984704,0.05075528700906345,0.0040415704387990765,23315383.80325,23315383.80325,1.8225,1.5475,
LRC-PERP,True,False,5e-05,1.0,1.0,0.7489,0.7488,0.74885,0.74885,future,,False,,LRC,False,False,500.0,0.008620109098255774,0.006586464144095705,0.004695780505802643,7399941.14045,7399941.14045,0.77755,0.7026,
LRC/USD,True,False,5e-05,1.0,1.0,0.74955,0.74885,0.74995,0.74955,spot,LRC,False,USD,,False,True,500.0,0.009698929076581127,0.004960782999262586,0.0,351557.64355,351557.64355,0.77965,0.7039,
LTC-PERP,True,False,0.01,0.01,0.01,100.89,100.88,100.89,100.89,future,,False,,LTC,False,False,5000.0,-0.0017809439002671415,0.014071766006633832,0.00039662865642042637,29165647.3642,29165647.3642,101.87,98.28,
LTC-0624,True,False,0.01,0.01,0.01,101.07,101.1,101.15,101.1,future,,False,,LTC,False,False,5000.0,-0.002368265245707519,0.01567209162145871,0.00029682398337785694,1722334.227,1722334.227,102.08,98.52,
LTC/BTC,True,False,2.5e-07,0.01,0.01,0.0026165,0.00261475,0.0026185,0.0026165,spot,LTC,False,BTC,,False,True,5000.0,0.0,0.01513094083414161,0.0,4.653413305,179312.39616079253,0.00262425,0.00255175,
